iter	Logloss
0	0.6687786085
1	0.6466504184
2	0.6249025311
3	0.6062758506
4	0.5900041517
5	0.5744959765
6	0.560841964
7	0.5494885298
8	0.5377861504
9	0.5279497338
10	0.5194870996
11	0.5104302177
12	0.5017945342
13	0.4954168053
14	0.4891998586
15	0.4810661971
16	0.4753066546
17	0.4699930594
18	0.4636572627
19	0.4563377758
20	0.4518129048
21	0.4409008316
22	0.4350724958
23	0.4264120521
24	0.4230774294
25	0.4190591076
26	0.4152871153
27	0.4121016539
28	0.4070996349
29	0.4041448252
30	0.3935299228
31	0.3915443283
32	0.3852994181
33	0.3826763876
34	0.3805099083
35	0.3787814896
36	0.3727298984
37	0.3698114708
38	0.36813195
39	0.3638721738
40	0.3627487246
41	0.3586289385
42	0.3540148465
43	0.352507338
44	0.3487736593
45	0.3479065018
46	0.3463803653
47	0.3438088062
48	0.3424161368
49	0.3405150998
50	0.3397449091
51	0.3385359165
52	0.3366061962
53	0.3349751018
54	0.3294303141
55	0.3283096835
56	0.3270426238
57	0.3254116446
58	0.3237738519
59	0.3221868963
60	0.3207366275
61	0.3201738678
62	0.3184710737
63	0.3171786232
64	0.3166764962
65	0.3155524363
66	0.3135046211
67	0.312334189
68	0.3114311527
69	0.3106526717
70	0.3090736249
71	0.3083692086
72	0.3079764808
73	0.3073594306
74	0.3070285878
75	0.3058803244
76	0.3043169567
77	0.3040052755
78	0.3022137393
79	0.3014509072
80	0.2986263738
81	0.2976917606
82	0.296320575
83	0.2957088796
84	0.29542557
85	0.2949522533
86	0.2937428082
87	0.2920766309
88	0.291326781
89	0.2907128308
90	0.288453447
91	0.2875529092
92	0.2872845464
93	0.2866101793
94	0.2858214721
95	0.2849690428
96	0.2837468812
97	0.2818292939
98	0.2811794419
99	0.2809203578
100	0.2805271887
101	0.2799236326
102	0.2794472275
103	0.2791683374
104	0.2787012797
105	0.2782475398
106	0.2780441018
107	0.2777599028
108	0.2773540993
109	0.277147855
110	0.2767610437
111	0.2756429311
112	0.2744358139
113	0.2738161768
114	0.2736543122
115	0.2734560681
116	0.2732045922
117	0.2730304862
118	0.2718519541
119	0.271666201
120	0.2713271852
121	0.2708301364
122	0.2702511303
123	0.2700951699
124	0.269766208
125	0.2694909783
126	0.2687145164
127	0.2685330922
128	0.2681868976
129	0.2680143642
130	0.2675929763
131	0.2671254029
132	0.266996672
133	0.2663499556
134	0.2660589481
135	0.2658678727
136	0.2657088034
137	0.265517732
138	0.265047823
139	0.2649139694
140	0.2644768398
141	0.2641512283
142	0.2637702596
143	0.2636585949
144	0.2635116197
145	0.2633628596
146	0.2628220126
147	0.2624367577
148	0.2619730591
149	0.2618094471
150	0.2615558524
151	0.2614277337
152	0.2610670045
153	0.2607527868
154	0.2606241592
155	0.2597067636
156	0.2592472785
157	0.2591394606
158	0.2588581964
159	0.2587402475
160	0.2584202127
161	0.2580255512
162	0.2578552982
163	0.2577704903
164	0.257678032
165	0.2574650897
166	0.2573267701
167	0.2571492332
168	0.2570464203
169	0.2569536402
170	0.2565895465
171	0.2559645723
172	0.2558571662
173	0.2556931848
174	0.255564094
175	0.2554432934
176	0.2552042892
177	0.2551139024
178	0.2550192564
179	0.2549025253
180	0.254792305
181	0.2543681804
182	0.25420028
183	0.2540120221
184	0.2539356297
185	0.2534713335
186	0.2532161416
187	0.2530628145
188	0.2529585245
189	0.2526884638
190	0.2525403466
191	0.2523799506
192	0.2523064593
193	0.2521595121
194	0.2520706761
195	0.2518351283
196	0.2517091355
197	0.2515831022
198	0.2508956879
199	0.2507335162
200	0.2506268314
201	0.2502546248
202	0.2499259331
203	0.2493661371
204	0.2490747119
205	0.2489572243
206	0.2485114935
207	0.2484201827
208	0.2479681315
209	0.2477778301
210	0.2475788392
211	0.2472604236
212	0.247158943
213	0.2470759036
214	0.2464415801
215	0.2462396455
216	0.2461214886
217	0.2460509232
218	0.2458240894
219	0.2457504715
220	0.2456635476
221	0.2453353021
222	0.2452303741
223	0.2451211776
224	0.2450401483
225	0.2449518651
226	0.2441031323
227	0.2440451204
228	0.2435839821
229	0.2431683956
230	0.2427408857
231	0.2424548463
232	0.2421899835
233	0.2420857358
234	0.2420195555
235	0.2419232112
236	0.2416296178
237	0.2415440655
238	0.2414277826
239	0.2413582192
240	0.24130764
241	0.2412231957
242	0.24113992
243	0.2410375489
244	0.2409563565
245	0.2408624421
246	0.2405994509
247	0.2405110848
248	0.2402672879
249	0.2401004703
250	0.2399933666
251	0.2399025615
252	0.2398250235
253	0.2395980027
254	0.2395365228
255	0.2394017349
256	0.2391919448
257	0.2389610548
258	0.2387782997
259	0.2386798967
260	0.238574644
261	0.2384748657
262	0.2383533394
263	0.2382825703
264	0.2381800527
265	0.2380841362
266	0.238023742
267	0.2379584977
268	0.2379036131
269	0.237710039
270	0.2374260775
271	0.2373521101
272	0.2372911253
273	0.2372176012
274	0.2371028181
275	0.2370110945
276	0.2365750982
277	0.2365020674
278	0.2364396373
279	0.2362369516
280	0.2361779465
281	0.2360480037
282	0.2359150191
283	0.2354518763
284	0.2352626733
285	0.2350733362
286	0.2350124818
287	0.234942438
288	0.2348567533
289	0.2347751005
290	0.2345794901
291	0.2344926673
292	0.2344002291
293	0.2343341721
294	0.2341798207
295	0.234034892
296	0.2339780876
297	0.2338731056
298	0.2337818329
299	0.2337010044
300	0.233557049
301	0.2334792465
302	0.2334142604
303	0.2333276547
304	0.2332725608
305	0.2332131952
306	0.2331618255
307	0.2330743973
308	0.2329824049
309	0.2329028302
310	0.2328222843
311	0.2327394088
312	0.2326563754
313	0.2326012604
314	0.2325123495
315	0.2324356008
316	0.2323740736
317	0.232145658
318	0.2320183698
319	0.2315933166
320	0.2313981828
321	0.2313237617
322	0.2309564808
323	0.2308935589
324	0.2308383626
325	0.2307657183
326	0.2305852021
327	0.2304998831
328	0.2304230601
329	0.2303120846
330	0.2302520954
331	0.2301899777
332	0.2301358738
333	0.2300951563
334	0.2300459799
335	0.2299729706
336	0.2298991395
337	0.2298051421
338	0.229738448
339	0.2296881751
340	0.2296241837
341	0.2295579701
342	0.2295110362
343	0.2294545304
344	0.2293390063
345	0.2292721299
346	0.2292278107
347	0.2291257332
348	0.2290480266
349	0.2289997195
350	0.2289501157
351	0.2288852899
352	0.2288239646
353	0.2287638322
354	0.2286974345
355	0.2286346175
356	0.228559372
357	0.228503861
358	0.2284538011
359	0.2284004947
360	0.2283368965
361	0.2282613039
362	0.2282078785
363	0.2281480234
364	0.2280827968
365	0.2280196317
366	0.2278354353
367	0.2277564026
368	0.2275712904
369	0.2275176247
370	0.2274342782
371	0.2272557749
372	0.2272000079
373	0.2271280075
374	0.2270730593
375	0.2270287291
376	0.2269483578
377	0.226880119
378	0.2268242467
379	0.2267750722
380	0.2263457414
381	0.2262986396
382	0.2261229914
383	0.2260653519
384	0.2260187083
385	0.225946651
386	0.2257094589
387	0.2256504798
388	0.225590625
389	0.2255246193
390	0.2254535455
391	0.2254093051
392	0.2253709697
393	0.2252711178
394	0.2252319707
395	0.2251816239
396	0.2251359141
397	0.2250904517
398	0.2250368835
399	0.2249698485
400	0.2249132633
401	0.2248640693
402	0.2248045658
403	0.2247525726
404	0.2246953942
405	0.2246506976
406	0.2242922591
407	0.2242292919
408	0.2241888217
409	0.2241471811
410	0.2240641038
411	0.223876598
412	0.223805229
413	0.2237388985
414	0.223703118
415	0.2236329131
416	0.2235936215
417	0.2235395455
418	0.22348452
419	0.2234276629
420	0.2233894349
421	0.2233143828
422	0.2231811293
423	0.2231294581
424	0.2230426034
425	0.2230088758
426	0.2229602642
427	0.2228762584
428	0.2228335394
429	0.2227853648
430	0.2227297412
431	0.2226943501
432	0.2226369296
433	0.2225793238
434	0.2225088161
435	0.2224720194
436	0.2224353626
437	0.2223983393
438	0.2223589245
439	0.2223030715
440	0.2222177855
441	0.2221828774
442	0.2221332285
443	0.2220815297
444	0.2220006429
445	0.221956193
446	0.2217967396
447	0.221737781
448	0.2216894754
449	0.2216483755
450	0.2216003479
451	0.2215542738
452	0.2215136195
453	0.2214697351
454	0.2214272715
455	0.2213917749
456	0.2213602805
457	0.2213103523
458	0.2211210996
459	0.2210713254
460	0.2210153555
461	0.2209529601
462	0.2209052076
463	0.2208565756
464	0.2208129141
465	0.2207690526
466	0.2207048601
467	0.22063474
468	0.2206052744
469	0.2205484852
470	0.2205030342
471	0.2204463062
472	0.2203976863
473	0.2203427913
474	0.2203008166
475	0.2202013469
476	0.2201642441
477	0.2200997735
478	0.2200560601
479	0.2200124534
480	0.2199767869
481	0.2199330198
482	0.2198958458
483	0.2198551001
484	0.2198089466
485	0.2197444141
486	0.2196889844
487	0.219622821
488	0.219590653
489	0.2195495354
490	0.2194881121
491	0.2194477023
492	0.2193984099
493	0.2192667178
494	0.2192133065
495	0.2191740052
496	0.2191282339
497	0.2190918997
498	0.2189800246
499	0.2189526318
500	0.2188849959
501	0.2188246692
502	0.218772629
503	0.2187022177
504	0.2186410209
505	0.2185893292
506	0.2185500905
507	0.2184919097
508	0.2184350494
509	0.2183844324
510	0.2183494894
511	0.2182379899
512	0.2181418399
513	0.2181022125
514	0.2180701749
515	0.2180262146
516	0.2179620635
517	0.217922433
518	0.2178537236
519	0.2177993787
520	0.2177541783
521	0.217710555
522	0.2176667201
523	0.2176391051
524	0.2175996205
525	0.2175517085
526	0.2175117912
527	0.217460853
528	0.2174279798
529	0.2173703538
530	0.2173213897
531	0.2172812046
532	0.2172486134
533	0.2171939141
534	0.2171446788
535	0.2171122841
536	0.2170632368
537	0.217026448
538	0.2169820711
539	0.2169433607
540	0.216904466
541	0.2168677982
542	0.2168283471
543	0.216792413
544	0.2167467847
545	0.2167142569
546	0.2166821382
547	0.2166425675
548	0.216598193
549	0.2165427904
550	0.2165031942
551	0.2164702122
552	0.2164237999
553	0.2163740373
554	0.2163440727
555	0.2163097878
556	0.2162649367
557	0.2162251419
558	0.2161863286
559	0.216141346
560	0.2160893271
561	0.2160510956
562	0.2160070357
563	0.2159533224
564	0.2159072147
565	0.2158705902
566	0.2158265782
567	0.2157815504
568	0.2157204935
569	0.215684717
570	0.2156553909
571	0.2156218687
572	0.215571636
573	0.2155375476
574	0.215500357
575	0.2154601686
576	0.2154274852
577	0.2153846693
578	0.2153399909
579	0.2153093232
580	0.2152826931
581	0.2152511453
582	0.21521334
583	0.2151627127
584	0.215131424
585	0.2151089223
586	0.2150770714
587	0.2149569019
588	0.2149221615
589	0.2148767396
590	0.2148429973
591	0.2148014395
592	0.214707713
593	0.2146145768
594	0.2145693649
595	0.2145283616
596	0.2144880608
597	0.2144545077
598	0.214415258
599	0.2143666764
600	0.2142558824
601	0.2142215308
602	0.2141839573
603	0.2141323896
604	0.2141033298
605	0.214068712
606	0.2140360936
607	0.2139946442
608	0.2139587425
609	0.2139191132
610	0.213897845
611	0.2138416712
612	0.2138174453
613	0.2137809138
614	0.2137492046
615	0.2137090122
616	0.2136628608
617	0.2136211831
618	0.2135855712
619	0.213535723
620	0.2135064716
621	0.2134219233
622	0.2133819673
623	0.2133038111
624	0.2132586511
625	0.2132294149
626	0.213180114
627	0.2131497961
628	0.2131185185
629	0.2130747616
630	0.2130404928
631	0.2129956773
632	0.212954098
633	0.2129261304
634	0.2128932045
635	0.2128620803
636	0.212827873
637	0.2128017356
638	0.2127714847
639	0.2127448306
640	0.2127210935
641	0.212689842
642	0.2126597091
643	0.2125495097
644	0.2124991243
645	0.2124646167
646	0.2124392209
647	0.212390953
648	0.2123599258
649	0.2123181381
650	0.212268861
651	0.2122237766
652	0.2121872217
