iter	Passed	Remaining
0	180	359967
1	206	205812
2	234	156010
3	258	128972
4	282	112827
5	305	101449
6	329	93755
7	352	87648
8	378	83700
9	403	80356
10	424	76810
11	446	73956
12	468	71664
13	490	69626
14	517	68460
15	539	66952
16	563	65709
17	588	64778
18	612	63887
19	636	63021
20	658	62101
21	684	61526
22	706	60756
23	728	60007
24	749	59198
25	770	58477
26	790	57763
27	814	57399
28	839	57072
29	862	56633
30	886	56318
31	909	55920
32	933	55641
33	956	55284
34	977	54858
35	998	54475
36	1025	54390
37	1046	54057
38	1071	53902
39	1096	53707
40	1119	53501
41	1141	53195
42	1161	52862
43	1183	52614
44	1203	52298
45	1224	52011
46	1247	51827
47	1277	51944
48	1302	51845
49	1323	51615
50	1343	51333
51	1365	51168
52	1388	51016
53	1416	51042
54	1440	50937
55	1461	50722
56	1481	50503
57	1502	50300
58	1525	50170
59	1546	50011
60	1567	49816
61	1587	49620
62	1612	49564
63	1635	49481
64	1659	49413
65	1689	49500
66	1717	49558
67	1744	49558
68	1772	49602
69	1795	49491
70	1822	49506
71	1845	49428
72	1868	49317
73	1888	49159
74	1909	49005
75	1930	48876
76	1954	48812
77	1976	48697
78	1998	48601
79	2021	48514
80	2047	48506
81	2070	48433
82	2094	48368
83	2115	48244
84	2135	48103
85	2158	48028
86	2179	47920
87	2202	47859
88	2227	47819
89	2249	47734
90	2270	47627
91	2291	47523
92	2312	47411
93	2332	47302
94	2354	47205
95	2378	47175
96	2402	47124
97	2423	47029
98	2445	46952
99	2466	46869
100	2487	46773
101	2509	46688
102	2533	46669
103	2553	46556
104	2575	46479
105	2600	46462
106	2629	46522
107	2657	46558
108	2686	46609
109	2713	46618
110	2740	46638
111	2768	46664
112	2795	46688
113	2823	46711
114	2857	46830
115	2882	46815
116	2906	46778
117	2929	46729
118	2954	46703
119	2979	46671
120	3003	46645
121	3026	46587
122	3046	46494
123	3067	46403
124	3089	46343
125	3113	46306
126	3135	46246
127	3154	46133
128	3186	46216
129	3208	46150
130	3231	46105
131	3252	46027
132	3275	45983
133	3298	45934
134	3321	45891
135	3343	45830
136	3368	45800
137	3389	45734
138	3414	45708
139	3436	45652
140	3457	45589
141	3479	45522
142	3501	45469
143	3524	45431
144	3545	45360
145	3568	45317
146	3592	45283
147	3613	45214
148	3638	45205
149	3659	45129
150	3684	45116
151	3711	45119
152	3739	45148
153	3770	45198
154	3798	45213
155	3828	45249
156	3858	45295
157	3883	45272
158	3909	45262
159	3933	45236
160	3958	45213
161	3984	45206
162	4007	45165
163	4028	45103
164	4050	45047
165	4072	44998
166	4095	44950
167	4117	44896
168	4140	44859
169	4161	44793
170	4182	44738
171	4205	44695
172	4225	44624
173	4246	44562
174	4267	44508
175	4288	44441
176	4312	44414
177	4336	44391
178	4359	44354
179	4384	44329
180	4405	44273
181	4426	44218
182	4450	44191
183	4474	44159
184	4496	44115
185	4520	44088
186	4546	44077
187	4570	44048
188	4595	44034
189	4618	44000
190	4640	43951
191	4664	43923
192	4685	43871
193	4709	43841
194	4732	43802
195	4753	43751
196	4780	43749
197	4802	43710
198	4827	43691
199	4848	43639
200	4870	43590
201	4892	43549
202	4916	43524
203	4943	43519
204	4970	43518
205	4991	43472
206	5014	43432
207	5033	43361
208	5057	43341
209	5081	43311
210	5105	43289
211	5126	43235
212	5148	43190
213	5166	43119
214	5189	43087
215	5213	43057
216	5232	42991
217	5254	42948
218	5275	42906
219	5297	42858
220	5314	42778
221	5337	42746
222	5358	42702
223	5379	42652
224	5399	42594
225	5420	42550
226	5443	42514
227	5465	42475
228	5488	42445
229	5512	42425
230	5535	42393
231	5558	42362
232	5580	42322
233	5601	42272
234	5623	42238
235	5648	42217
236	5672	42196
237	5692	42141
238	5716	42119
239	5735	42062
240	5756	42017
241	5777	41967
242	5798	41926
243	5824	41918
244	5847	41884
245	5867	41836
246	5891	41810
247	5912	41770
248	5935	41741
249	5960	41725
250	5985	41710
251	6005	41659
252	6027	41620
253	6051	41595
254	6071	41548
255	6095	41528
256	6117	41490
257	6143	41479
258	6168	41463
259	6188	41417
260	6205	41347
261	6227	41311
262	6249	41275
263	6270	41232
264	6289	41181
265	6316	41173
266	6338	41139
267	6358	41095
268	6381	41065
269	6404	41038
270	6428	41014
271	6449	40975
272	6471	40939
273	6494	40908
274	6518	40891
275	6539	40846
276	6563	40825
277	6584	40783
278	6605	40747
279	6627	40713
280	6649	40678
281	6674	40660
282	6694	40615
283	6718	40592
284	6740	40562
285	6764	40536
286	6784	40492
287	6804	40451
288	6827	40422
289	6848	40382
290	6870	40348
291	6890	40306
292	6910	40259
293	6933	40230
294	6956	40205
295	6977	40169
296	6999	40134
297	7019	40093
298	7043	40070
299	7066	40041
300	7090	40019
301	7114	40000
302	7135	39965
303	7155	39918
304	7178	39895
305	7197	39845
306	7217	39802
307	7239	39769
308	7267	39772
309	7298	39790
310	7327	39795
311	7356	39802
312	7385	39805
313	7411	39793
314	7438	39788
315	7460	39755
316	7483	39728
317	7503	39689
318	7528	39669
319	7552	39652
320	7576	39629
321	7600	39606
322	7622	39573
323	7640	39524
324	7660	39482
325	7680	39441
326	7703	39413
327	7728	39394
328	7748	39353
329	7770	39325
330	7794	39300
331	7817	39276
332	7839	39243
333	7861	39212
334	7880	39168
335	7907	39158
336	7934	39153
337	7958	39134
338	7981	39107
339	8004	39079
340	8024	39040
341	8046	39007
342	8068	38977
343	8088	38937
344	8111	38911
345	8135	38890
346	8157	38861
347	8181	38838
348	8215	38864
349	8236	38828
350	8257	38794
351	8277	38755
352	8299	38723
353	8321	38692
354	8343	38661
355	8366	38638
356	8388	38606
357	8411	38578
358	8439	38576
359	8469	38581
360	8499	38586
361	8526	38583
362	8553	38571
363	8578	38558
364	8606	38554
365	8627	38517
366	8652	38501
367	8674	38469
368	8695	38433
369	8715	38396
370	8737	38362
371	8759	38335
372	8780	38301
373	8802	38271
374	8827	38251
375	8850	38227
376	8870	38189
377	8890	38149
378	8914	38127
379	8935	38094
380	8959	38072
381	8981	38040
382	9005	38018
383	9026	37985
384	9046	37948
385	9070	37925
386	9096	37912
387	9118	37886
388	9139	37848
389	9160	37814
390	9183	37790
391	9204	37755
392	9224	37718
393	9246	37690
394	9268	37658
395	9288	37621
396	9310	37593
397	9333	37566
398	9358	37550
399	9376	37504
400	9394	37460
401	9415	37427
402	9438	37404
403	9458	37364
404	9476	37322
405	9499	37294
406	9522	37272
407	9542	37233
408	9563	37202
409	9587	37181
410	9611	37161
411	9634	37136
412	9658	37111
413	9680	37084
414	9702	37056
415	9723	37024
416	9743	36989
417	9764	36954
418	9787	36931
419	9811	36910
420	9837	36895
421	9866	36892
422	9891	36877
423	9915	36855
424	9940	36837
425	9962	36808
426	9982	36772
427	10006	36752
428	10027	36719
429	10046	36681
430	10068	36651
431	10087	36612
432	10106	36574
433	10125	36536
434	10148	36510
435	10168	36477
436	10190	36449
437	10209	36410
438	10229	36374
439	10250	36341
440	10274	36321
441	10297	36295
442	10321	36276
443	10345	36254
444	10366	36225
445	10386	36188
446	10409	36164
447	10429	36131
448	10451	36104
449	10472	36073
450	10496	36049
451	10516	36015
452	10539	35991
453	10559	35958
454	10581	35930
455	10602	35899
456	10625	35874
457	10644	35839
458	10669	35822
459	10692	35795
460	10715	35772
461	10736	35743
462	10757	35711
463	10780	35686
464	10804	35667
465	10828	35645
466	10852	35624
467	10878	35610
468	10903	35592
469	10930	35580
470	10950	35548
471	10971	35519
472	10992	35488
473	11017	35470
474	11040	35444
475	11064	35424
476	11090	35409
477	11113	35385
478	11135	35359
479	11157	35331
480	11180	35306
481	11201	35277
482	11222	35248
483	11245	35222
484	11273	35216
485	11302	35209
486	11325	35186
487	11349	35163
488	11369	35133
489	11390	35102
490	11415	35084
491	11438	35058
492	11460	35033
493	11485	35013
494	11509	34994
495	11531	34966
496	11555	34944
497	11581	34930
498	11609	34920
499	11633	34899
500	11654	34871
501	11675	34840
502	11704	34834
503	11730	34820
504	11751	34789
505	11779	34779
506	11806	34768
507	11834	34758
508	11857	34734
509	11881	34712
510	11906	34693
511	11928	34667
512	11954	34650
513	11979	34633
514	12001	34607
515	12022	34577
516	12049	34564
517	12073	34542
518	12097	34522
519	12123	34504
520	12145	34479
521	12169	34458
522	12192	34434
523	12216	34411
524	12238	34384
525	12263	34364
526	12288	34347
527	12310	34318
528	12331	34290
529	12353	34263
530	12375	34236
531	12397	34210
532	12419	34182
533	12439	34149
534	12460	34121
535	12482	34094
536	12503	34063
537	12523	34031
538	12543	34001
539	12568	33980
540	12590	33955
541	12610	33923
542	12631	33892
543	12653	33867
544	12676	33843
545	12699	33819
546	12721	33792
547	12741	33759
548	12763	33734
549	12785	33708
550	12814	33697
551	12837	33676
552	12860	33652
553	12889	33643
554	12909	33610
555	12930	33581
556	12951	33552
557	12974	33530
558	12994	33497
559	13015	33467
560	13038	33444
561	13057	33411
562	13077	33379
563	13098	33350
564	13121	33325
565	13143	33299
566	13164	33270
567	13184	33238
568	13202	33203
569	13223	33174
570	13243	33143
571	13266	33120
572	13287	33092
573	13310	33068
574	13333	33043
575	13354	33015
576	13375	32986
577	13400	32968
578	13421	32938
579	13444	32916
580	13470	32898
581	13492	32872
582	13518	32857
583	13543	32838
584	13565	32812
585	13589	32791
586	13612	32767
587	13634	32741
588	13661	32726
589	13683	32700
590	13703	32670
591	13724	32642
592	13747	32619
593	13768	32589
594	13794	32572
595	13815	32544
596	13838	32521
597	13861	32498
598	13888	32482
599	13913	32465
600	13938	32445
601	13962	32424
602	13984	32398
603	14008	32377
604	14029	32349
605	14050	32321
606	14072	32295
607	14094	32268
608	14116	32243
609	14137	32214
610	14158	32187
611	14184	32170
612	14208	32148
613	14237	32138
614	14261	32116
615	14283	32092
616	14311	32078
617	14338	32063
618	14361	32040
619	14381	32011
620	14406	31990
621	14430	31969
622	14453	31946
623	14478	31926
624	14500	31901
625	14523	31877
626	14546	31853
627	14573	31840
628	14598	31818
629	14622	31799
630	14648	31779
631	14668	31750
632	14689	31722
633	14711	31696
634	14730	31665
635	14753	31640
636	14777	31618
637	14804	31604
638	14825	31577
639	14849	31556
640	14873	31533
641	14897	31512
642	14920	31489
643	14941	31461
644	14961	31429
645	14982	31402
646	15004	31376
647	15025	31349
648	15046	31321
649	15072	31305
